Москва,popular,100
Санкт-Петербург,popular,200
Владимир,popular,300
Калуга,popular,400
Липецк,popular,500
Обнинск,popular,600
Рязань,popular,700
Челябинск,popular,800
Волгоград,popular,900
Казань,popular,1000
Новомосковск,popular,1100
Омск,popular,1200
Самара,popular,1300
Ярославль,popular,1400
Воронеж,popular,1500
Кострома,popular,1600
Нижний Новгород,popular,1700
Ростов-на-Дону,popular,1800
Екатеринбург,popular,1900
Краснодар,popular,2000
Орёл,popular,2100
Тверь,popular,2200
Иваново,popular,2300
Красноярск,popular,2400
Новосибирск,popular,2500
Пермь,popular,2600
Тула,popular,2700
Балашиха,moscow_region,100
Быково,moscow_region,100
Видное,moscow_region,100
Воскресенск,moscow_region,100
Дзержинский,moscow_region,100
Дмитров,moscow_region,100
Долгопрудный,moscow_region,100
Дубна,moscow_region,100
Егорьевск,moscow_region,100
Железнодорожный,moscow_region,100
Жуковский,moscow_region,100
Зеленоград,moscow_region,100
Климовск,moscow_region,100
Клин,moscow_region,100
Коломна,moscow_region,100
Королев,moscow_region,100
Красково,moscow_region,100
Красногорск,moscow_region,100
Лобня,moscow_region,100
Луховицы,moscow_region,100
Лыткарино,moscow_region,100
Люберцы,moscow_region,100
Мытищи,moscow_region,100
Ногинск,moscow_region,100
Одинцово,moscow_region,100
Орехово-Зуево,moscow_region,100
Отрадное,moscow_region,100
Павловский Посад,moscow_region,100
Подольск,moscow_region,100
Пушкино,moscow_region,100
Раменское,moscow_region,100
Реутов,moscow_region,100
Сергиев Посад,moscow_region,100
Серпухов,moscow_region,100
Солнечногорск,moscow_region,100
Томилино,moscow_region,100
Фрязино,moscow_region,100
Химки,moscow_region,100
Чехов,moscow_region,100
Щелково,moscow_region,100
Щербинка,moscow_region,100
Электросталь,moscow_region,100
Юбилейный,moscow_region,100
