Москва,1,0000073738
Ленинский район,1,0000044874
Люберецкий район,1,0000046134
Балашихинский район,1,0000033889
Раменский район,1,0000058810
Домодедовский район,1,0000028132
Электросталь,1,0000031716
Щербинка,1,0000077774
Реутов,1,0000031209
Лыткарино,1,0000031513
Жуковский,1,0000030048
Дзержинский,1,0000032243
Ярославль,2,0000263227
Заволжье,2,0000264452
пос. Красный бор,2,0000264514
Лесная поляна,2,0000264387
Кузнечиха,2,0000264626
Ивановский перевоз,2,0000264772
Щедрино,2,0000265180
Дубки,2,0000264551
Владимир,2,0000312126
Коммунар,2,0000312628
Заклязьменский,2,0000312552
Рахманов Перевоз,2,0000312578
Боголюбово,2,0000323170
Суромна,2,0000323721
Сновицы,2,0000323084
Иваново,2,0000121319
Кохма,2,0000123019
Малинки,2,0000123656
Конохово,2,0000122991
Песочнево,2,0000122980
Воронеж,2,0000293598
Тула,2,0000250453
Криволучье,2,0000256487
Рвы,2,0000258210
Ясная поляна,2,0000262139
Молодежный,2,0000257983
Плеханово,2,0000256596
Хрущево,2,0000258416
Маслово,2,0000258391
Петровский,2,0000258111
Косая гора,2,0000251328
Воскресенский район,3,0000035922
Подольский район,3,0000056947
Чеховский район,3,0000070089
Серпуховской район,3,0000154153
Ступинский район,3,0000066934
Каширский район,3,0000041214
Озерский район,3,0000055858
Зарайский район,3,0000039612
Коломенский район,3,0000043242
Луховицкий район,3,0000045489
Егорьевский район,3,0000038649
Орехово-Зуевский район,3,0000054945
Павлово-Посадский район,3,0000056303
Ногинский район,3,0000052061
Щелковский район,3,0000071888
Пушкинский район,3,0000057351
Мытищинский район,3,0000048075
Солнечногорский район,3,0000065151
Истринский район,3,0000039975
Одинцовский район,3,0000053860
Красногорский район,3,0000044140
Щелковский район,3,0000071888
Зеленоград,3,0000077344
Королев,3,0000030318
Лобня,3,0000031298
Химки,3,0000033097
Волгоград,3,0000426112
Дмитров,3,0000038079
Долгопрудный,3,0000032891
Дубна,3,0000030138
Калуга,3,0000147475
Клин,3,0000042452
Кострома,3,0000159128
Липецк,3,0000177609
Нижний Новгород,3,0000600317
Новомосковск,3,0000258908
Обнинск,3,0000148783
Орел,3,0000187229
Павловский посад,3,0000056325
Рязань,3,0000197740
Сергиев Посад,3,0000062941
Тверь,3,0000230626
Россия,4,0000028023
